asciiname,lat,lon,country,admin_code,tz,population,country_name,region,sub_region
Salta,-24.7859,-65.41166,AR,17,America/Argentina/Salta,512686,Argentina,Americas,Latin America and the Caribbean
Rosario,-32.94682,-60.63932,AR,21,America/Argentina/Cordoba,1173533,Argentina,Americas,Latin America and the Caribbean
Rio Tercero,-32.17301,-64.11406,AR,05,America/Argentina/Cordoba,53389,Argentina,Americas,Latin America and the Caribbean
Rio Gallegos,-51.62261,-69.21813,AR,20,America/Argentina/Rio_Gallegos,85700,Argentina,Americas,Latin America and the Caribbean
Rio Cuarto,-33.13067,-64.34992,AR,05,America/Argentina/Cordoba,153757,Argentina,Americas,Latin America and the Caribbean
Rafaela,-31.25033,-61.4867,AR,21,America/Argentina/Cordoba,88713,Argentina,Americas,Latin America and the Caribbean
Punta Alta,-38.87588,-62.07359,AR,01,America/Argentina/Buenos_Aires,57209,Argentina,Americas,Latin America and the Caribbean
Puerto Madryn,-42.7692,-65.03851,AR,04,America/Argentina/Catamarca,64555,Argentina,Americas,Latin America and the Caribbean
Presidencia Roque Saenz Pena,-26.78522,-60.43876,AR,03,America/Argentina/Cordoba,81879,Argentina,Americas,Latin America and the Caribbean
Pergamino,-33.88995,-60.57357,AR,01,America/Argentina/Buenos_Aires,87652,Argentina,Americas,Latin America and the Caribbean
Parana,-31.73197,-60.5238,AR,08,America/Argentina/Cordoba,262295,Argentina,Americas,Latin America and the Caribbean
Olavarria,-36.89272,-60.32254,AR,01,America/Argentina/Buenos_Aires,86320,Argentina,Americas,Latin America and the Caribbean
Neuquen,-38.95161,-68.0591,AR,15,America/Argentina/Salta,242092,Argentina,Americas,Latin America and the Caribbean
Mendoza,-32.89084,-68.82717,AR,13,America/Argentina/Mendoza,876884,Argentina,Americas,Latin America and the Caribbean
La Rioja,-29.41105,-66.85067,AR,12,America/Argentina/La_Rioja,162620,Argentina,Americas,Latin America and the Caribbean
Junin,-34.58382,-60.94332,AR,01,America/Argentina/Buenos_Aires,85007,Argentina,Americas,Latin America and the Caribbean
Gobernador Galvez,-33.03016,-60.64045,AR,21,America/Argentina/Cordoba,74650,Argentina,Americas,Latin America and the Caribbean
General Roca,-39.03333,-67.58333,AR,16,America/Argentina/Salta,73212,Argentina,Americas,Latin America and the Caribbean
General Pico,-35.65662,-63.75682,AR,11,America/Argentina/Salta,57029,Argentina,Americas,Latin America and the Caribbean
Cordoba,-31.4135,-64.18105,AR,05,America/Argentina/Cordoba,1428214,Argentina,Americas,Latin America and the Caribbean
Comodoro Rivadavia,-45.86414,-67.49656,AR,04,America/Argentina/Catamarca,140850,Argentina,Americas,Latin America and the Caribbean
Cipolletti,-38.93392,-67.99032,AR,16,America/Argentina/Salta,75078,Argentina,Americas,Latin America and the Caribbean
Chivilcoy,-34.89566,-60.01667,AR,01,America/Argentina/Buenos_Aires,54514,Argentina,Americas,Latin America and the Caribbean
Chimbas,-31.48333,-68.53333,AR,18,America/Argentina/San_Juan,73829,Argentina,Americas,Latin America and the Caribbean
Bahia Blanca,-38.7196,-62.27243,AR,01,America/Argentina/Buenos_Aires,276546,Argentina,Americas,Latin America and the Caribbean
Villa Mercedes,-33.67571,-65.45783,AR,19,America/Argentina/San_Luis,96781,Argentina,Americas,Latin America and the Caribbean
San Carlos de Bariloche,-41.14557,-71.30822,AR,16,America/Argentina/Salta,95394,Argentina,Americas,Latin America and the Caribbean
Vienna,48.20849,16.37208,AT,09,Europe/Vienna,1691468,Austria,Europe,Western Europe
Wels,48.16667,14.03333,AT,04,Europe/Vienna,57946,Austria,Europe,Western Europe
Villach,46.61028,13.85583,AT,02,Europe/Vienna,58882,Austria,Europe,Western Europe
Salzburg,47.79941,13.04399,AT,05,Europe/Vienna,150269,Austria,Europe,Western Europe
Linz,48.30639,14.28611,AT,04,Europe/Vienna,181162,Austria,Europe,Western Europe
Klagenfurt am Woerthersee,46.62472,14.30528,AT,02,Europe/Vienna,90610,Austria,Europe,Western Europe
Innsbruck,47.26266,11.39454,AT,07,Europe/Vienna,112467,Austria,Europe,Western Europe
Graz,47.06667,15.45,AT,06,Europe/Vienna,222326,Austria,Europe,Western Europe
Rockingham,-32.27682,115.72978,AU,08,Australia/Perth,108022,Australia,Oceania,Australia and New Zealand
Perth,-31.95224,115.8614,AU,08,Australia/Perth,1896548,Australia,Oceania,Australia and New Zealand
Mandurah,-32.5269,115.7217,AU,08,Australia/Perth,83294,Australia,Oceania,Australia and New Zealand
Darwin,-12.46113,130.84185,AU,03,Australia/Darwin,129062,Australia,Oceania,Australia and New Zealand
Bunbury,-33.32711,115.64137,AU,08,Australia/Perth,68248,Australia,Oceania,Australia and New Zealand
Armadale,-32.14607,116.0093,AU,08,Australia/Perth,62296,Australia,Oceania,Australia and New Zealand
Adelaide,-34.92866,138.59863000000001,AU,05,Australia/Adelaide,1225235,Australia,Oceania,Australia and New Zealand
Townsville,-19.26639,146.8057,AU,04,Australia/Brisbane,196219,Australia,Oceania,Australia and New Zealand
Toowoomba,-27.56056,151.95386,AU,04,Australia/Brisbane,131258,Australia,Oceania,Australia and New Zealand
Sydney,-33.86785,151.20732,AU,02,Australia/Sydney,4627345,Australia,Oceania,Australia and New Zealand
Rockhampton,-23.38032,150.50595,AU,04,Australia/Brisbane,61724,Australia,Oceania,Australia and New Zealand
Newcastle,-32.92715,151.77647,AU,02,Australia/Sydney,308308,Australia,Oceania,Australia and New Zealand
Melbourne,-37.814,144.96332,AU,07,Australia/Melbourne,4246375,Australia,Oceania,Australia and New Zealand
Maitland,-32.73308,151.5574,AU,02,Australia/Sydney,67132,Australia,Oceania,Australia and New Zealand
Mackay,-21.15345,149.16554,AU,04,Australia/Brisbane,74219,Australia,Oceania,Australia and New Zealand
Launceston,-41.43876,147.13467,AU,06,Australia/Hobart,106153,Australia,Oceania,Australia and New Zealand
Hobart,-42.87936,147.32941,AU,06,Australia/Hobart,216656,Australia,Oceania,Australia and New Zealand
Gold Coast,-28.00029,153.43088,AU,04,Australia/Brisbane,591473,Australia,Oceania,Australia and New Zealand
Geelong,-38.14711,144.36069,AU,07,Australia/Melbourne,226034,Australia,Oceania,Australia and New Zealand
Wollongong,-34.424,150.89345,AU,02,Australia/Sydney,292190,Australia,Oceania,Australia and New Zealand
Canberra,-35.28346,149.12807,AU,01,Australia/Sydney,367752,Australia,Oceania,Australia and New Zealand
Cairns,-16.92304,145.76625,AU,04,Australia/Brisbane,153075,Australia,Oceania,Australia and New Zealand
Bundaberg,-24.86621,152.3479,AU,04,Australia/Brisbane,70826,Australia,Oceania,Australia and New Zealand
Brisbane,-27.46794,153.02809,AU,04,Australia/Brisbane,2189878,Australia,Oceania,Australia and New Zealand
Bendigo,-36.75818,144.28024,AU,07,Australia/Melbourne,100617,Australia,Oceania,Australia and New Zealand
Ballarat,-37.56622,143.84957,AU,07,Australia/Melbourne,97937,Australia,Oceania,Australia and New Zealand
South Brisbane,-27.48333,153.01667,AU,04,Australia/Brisbane,60000,Australia,Oceania,Australia and New Zealand
Logan City,-27.63917,153.10944,AU,04,Australia/Brisbane,282673,Australia,Oceania,Australia and New Zealand
Adelaide Hills,-34.91118,138.70735,AU,05,Australia/Adelaide,60394,Australia,Oceania,Australia and New Zealand
Xankǝndi,39.8177,46.7528,AZ,61,Asia/Baku,53100,Azerbaijan,Asia,Western Asia
Saatli,39.93214,48.36892,AZ,45,Asia/Baku,87000,Azerbaijan,Asia,Western Asia
Nakhchivan,39.20889,45.41222,AZ,35,Asia/Baku,64754,Azerbaijan,Asia,Western Asia
Lǝnkǝran,38.75428,48.85062,AZ,29,Asia/Baku,240300,Azerbaijan,Asia,Western Asia
Sirvan,39.93778,48.929,AZ,07,Asia/Baku,70220,Azerbaijan,Asia,Western Asia
Yevlakh,40.61832,47.15014,AZ,68,Asia/Baku,59036,Azerbaijan,Asia,Western Asia
Sumqayit,40.58972,49.66861,AZ,54,Asia/Baku,265150,Azerbaijan,Asia,Western Asia
Qaracuxur,40.39667,49.97361,AZ,09,Asia/Baku,72989,Azerbaijan,Asia,Western Asia
Sheki,41.19194,47.17056,AZ,48,Asia/Baku,63000,Azerbaijan,Asia,Western Asia
Mingelchaur,40.76395,47.05953,AZ,33,Asia/Baku,95453,Azerbaijan,Asia,Western Asia
Ganja,40.68278,46.36056,AZ,20,Asia/Baku,313300,Azerbaijan,Asia,Western Asia
Baku,40.37767,49.89201,AZ,09,Asia/Baku,1116513,Azerbaijan,Asia,Western Asia
Bakixanov,40.41894,49.96693,AZ,09,Asia/Baku,66686,Azerbaijan,Asia,Western Asia
Zenica,44.20169,17.90397,BA,01,Europe/Sarajevo,164423,Bosnia and Herzegovina,Europe,Southern Europe
Tuzla,44.53842,18.66709,BA,01,Europe/Sarajevo,142486,Bosnia and Herzegovina,Europe,Southern Europe
Sarajevo,43.84864,18.35644,BA,01,Europe/Sarajevo,696731,Bosnia and Herzegovina,Europe,Southern Europe
Mostar,43.34333,17.80806,BA,01,Europe/Sarajevo,104518,Bosnia and Herzegovina,Europe,Southern Europe
Bihac,44.81694,15.87083,BA,01,Europe/Sarajevo,75641,Bosnia and Herzegovina,Europe,Southern Europe
Banja Luka,44.77583,17.18556,BA,02,Europe/Sarajevo,221106,Bosnia and Herzegovina,Europe,Southern Europe
Bridgetown,13.1,-59.61667,BB,08,America/Barbados,98511,Barbados,Americas,Latin America and the Caribbean
Thakurgaon,26.03097,88.46989,BD,87,Asia/Dhaka,71096,Bangladesh,Asia,Southern Asia
Tungi,23.89154,90.40232,BD,81,Asia/Dhaka,337579,Bangladesh,Asia,Southern Asia
Sylhet,24.89904,91.87198,BD,86,Asia/Dhaka,237000,Bangladesh,Asia,Southern Asia
Jamalpur,24.91965,89.94812,BD,81,Asia/Dhaka,167900,Bangladesh,Asia,Southern Asia
Satkhira,22.70817,89.07185,BD,82,Asia/Dhaka,128918,Bangladesh,Asia,Southern Asia
Sirajganj,24.45771,89.70802,BD,83,Asia/Dhaka,127481,Bangladesh,Asia,Southern Asia
Netrakona,24.88352,90.72898,BD,81,Asia/Dhaka,79016,Bangladesh,Asia,Southern Asia
Narsingdi,23.92298,90.71768,BD,81,Asia/Dhaka,281080,Bangladesh,Asia,Southern Asia
Sandwip,22.51409,91.45491,BD,84,Asia/Dhaka,52152,Bangladesh,Asia,Southern Asia
Shahzadpur,24.17687,89.5988,BD,83,Asia/Dhaka,102420,Bangladesh,Asia,Southern Asia
